data_loader,model,workers,dl_only,sequence,seed,epoch,batch_size,batches_cnt,epoch_time,batch_time,data_time,train_time,data_path
PyTorch - torch==1.8.1+cu111 torchvision==0.9.1,resnet18,1,True,False,1234,0,256,4995,5503.944805622101,1.1018720594850986,1.1016659193449432,0.0002061401401554142,/home/satya-local/scratch/satya-local//imagenet_torchvision
PyTorch - torch==1.8.1+cu111 torchvision==0.9.1,resnet18,1,True,True,1234,0,256,4995,5491.816376686096,1.0994435607253372,1.099250088129435,0.0001934725959021766,/home/satya-local/scratch/satya-local//imagenet_torchvision
PyTorch - torch==1.8.1+cu111 torchvision==0.9.1,resnet18,2,True,False,1234,0,256,4995,3127.986358642578,0.6261585453251103,0.6259825007216231,0.00017604460348715414,/home/satya-local/scratch/satya-local//imagenet_torchvision
PyTorch - torch==1.8.1+cu111 torchvision==0.9.1,resnet18,4,True,False,1234,0,256,4995,3161.3324677944183,0.6328714434687679,0.6326674994047697,0.00020394406399808012,/home/satya-local/scratch/satya-local//imagenet_torchvision
PyTorch - torch==1.8.1+cu111 torchvision==0.9.1,resnet18,6,True,False,1234,0,256,4995,929.1764814853668,0.1859897626890196,0.18582293440749098,0.0001668282815285989,/home/satya-local/scratch/satya-local//imagenet_torchvision
PyTorch - torch==1.8.1+cu111 torchvision==0.9.1,resnet18,8,True,False,1234,0,256,4995,697.5597250461578,0.13961405052437081,0.1394464451748807,0.0001676053494901151,/home/satya-local/scratch/satya-local//imagenet_torchvision
PyTorch - torch==1.8.1+cu111 torchvision==0.9.1,resnet18,16,True,False,1234,0,256,4995,363.64070892333984,0.07274700972411009,0.07258628056691335,0.00016072915719674753,/home/satya-local/scratch/satya-local//imagenet_torchvision
PyTorch - torch==1.8.1+cu111 torchvision==0.9.1,resnet18,32,True,False,1234,0,256,4995,236.46383357048035,0.04725587561323836,0.046943668655685715,0.0003122069575526454,/home/satya-local/scratch/satya-local//imagenet_torchvision
PyTorch - torch==1.8.1+cu111 torchvision==0.9.1,resnet18,1,True,False,1234,0,256,4995,21296.72091937065,4.263590048168514,4.263425701063078,0.00016434710543673556,/Tmp/satya-local//imagenet_torchvision
PyTorch - torch==1.8.1+cu111 torchvision==0.9.1,resnet18,1,True,True,1234,0,256,4995,10684.021856546402,2.1389259004258774,2.1387573687999217,0.00016853162595578978,/Tmp/satya-local//imagenet_torchvision
PyTorch - torch==1.8.1+cu111 torchvision==0.9.1,resnet18,2,True,False,1234,0,256,4995,17041.375646591187,3.411664504546661,3.411475915784712,0.00018858876194920507,/Tmp/satya-local//imagenet_torchvision
PyTorch - torch==1.8.1+cu111 torchvision==0.9.1,resnet18,4,True,False,1234,0,256,4995,11980.366206169128,2.3984444305106805,2.398293268119728,0.00015116239095235373,/Tmp/satya-local//imagenet_torchvision
PyTorch - torch==1.8.1+cu111 torchvision==0.9.1,resnet18,6,True,False,1234,0,256,4995,11322.20835518837,2.2666780077062687,2.2664705605836244,0.00020744712264449507,/Tmp/satya-local//imagenet_torchvision
PyTorch - torch==1.8.1+cu111 torchvision==0.9.1,resnet18,8,True,False,1234,0,256,4995,8995.260721445084,1.8008167117446272,1.8004833701613907,0.0003333415832366791,/Tmp/satya-local//imagenet_torchvision
PyTorch - torch==1.8.1+cu111 torchvision==0.9.1,resnet18,16,True,False,1234,0,256,4995,6864.570494413376,1.3742372437401695,1.3730319703782763,0.0012052733618933876,/Tmp/satya-local//imagenet_torchvision
PyTorch - torch==1.8.1+cu111 torchvision==0.9.1,resnet18,32,True,False,1234,0,256,4995,6408.555538892746,1.2829175084680169,1.2819758896832472,0.0009416187847698773,/Tmp/satya-local//imagenet_torchvision
PyTorch - torch==1.8.1+cu111 torchvision==0.9.1,resnet18,1,True,False,1234,0,256,4995,12075.478327274323,2.4174925456653247,2.4173371345550567,0.00015541111026798283,/network/scratch/o/ortizgas/transit_datasets//imagenet_torchvision
PyTorch - torch==1.8.1+cu111 torchvision==0.9.1,resnet18,1,True,True,1234,0,256,4995,11033.061078548431,2.208802856745066,2.20864642628201,0.00015643046305582927,/network/scratch/o/ortizgas/transit_datasets//imagenet_torchvision
PyTorch - torch==1.8.1+cu111 torchvision==0.9.1,resnet18,2,True,False,1234,0,256,4995,5780.179604768753,1.1571702443085634,1.1570069133579075,0.00016333095065585606,/network/scratch/o/ortizgas/transit_datasets//imagenet_torchvision
PyTorch - torch==1.8.1+cu111 torchvision==0.9.1,resnet18,4,True,False,1234,0,256,4995,2813.9568977355957,0.5633290758600703,0.5631637448185796,0.00016533104149070945,/network/scratch/o/ortizgas/transit_datasets//imagenet_torchvision
PyTorch - torch==1.8.1+cu111 torchvision==0.9.1,resnet18,6,True,False,1234,0,256,4995,1796.8546986579895,0.359697851356682,0.3595557516878909,0.00014209966879110555,/network/scratch/o/ortizgas/transit_datasets//imagenet_torchvision
PyTorch - torch==1.8.1+cu111 torchvision==0.9.1,resnet18,8,True,False,1234,0,256,4995,1356.5779440402985,0.2715468399517529,0.2713900060147733,0.00015683393697958213,/network/scratch/o/ortizgas/transit_datasets//imagenet_torchvision
PyTorch - torch==1.8.1+cu111 torchvision==0.9.1,resnet18,16,True,False,1234,0,256,4995,632.1136662960052,0.1264944431182739,0.12636753994900662,0.00012690316926728976,/network/scratch/o/ortizgas/transit_datasets//imagenet_torchvision
PyTorch - torch==1.8.1+cu111 torchvision==0.9.1,resnet18,32,True,False,1234,0,256,4995,324.9705421924591,0.06497800314390624,0.064865460791984,0.00011254235192223473,/network/scratch/o/ortizgas/transit_datasets//imagenet_torchvision
