data_loader,workers,seed,epoch,batch_size,batches_cnt,batch_time,waiting_for_data_time,train_time,data_path
data_loader,workers,seed,epoch,batch_size,batches_cnt,batch_time,waiting_for_data_time,train_time,data_path
data_loader,workers,seed,epoch,batch_size,batches_cnt,batch_time,waiting_for_data_time,train_time,data_path
data_loader,workers,seed,epoch,batch_size,batches_cnt,batch_time,waiting_for_data_time,train_time,data_path
data_loader,workers,seed,epoch,batch_size,batches_cnt,batch_time,waiting_for_data_time,train_time,data_path
Benzina,1,0,0,128,100,0.04418522119522095,0,0,/Tmp/ortizgas/data/ImageNet2012_h264/
data_loader,workers,seed,epoch,batch_size,batches_cnt,batch_time,waiting_for_data_time,train_time,data_path
Benzina,1,0,0,128,200,0.043954135179519654,0,0,/Tmp/ortizgas/data/ImageNet2012_h264/
data_loader,workers,seed,epoch,batch_size,batches_cnt,batch_time,waiting_for_data_time,train_time,data_path
Benzina,1,0,0,128,100,0.044134771823883055,0,0,/Tmp/ortizgas/data/ImageNet2012_h264/
data_loader,workers,seed,epoch,batch_size,batches_cnt,batch_time,waiting_for_data_time,train_time,data_path
Benzina,1,0,0,128,100,0.044007248878479004,0,0,/Tmp/ortizgas/data/ImageNet2012_h264/
data_loader,workers,seed,epoch,batch_size,batches_cnt,batch_time,waiting_for_data_time,train_time,data_path
Benzina,1,0,0,128,100,0.043018765449523926,0,0,/Tmp/ortizgas/data/ImageNet2012_h264/
data_loader,workers,seed,epoch,batch_size,batches_cnt,batch_time,waiting_for_data_time,train_time,data_path
Benzina,1,0,0,128,100,0.38113873958587646,0,0,/Tmp/ortizgas/data/ImageNet2012_h264/
data_loader,workers,seed,epoch,batch_size,batches_cnt,batch_time,waiting_for_data_time,train_time,data_path
Benzina,1,0,0,128,100,0.048314707279205324,0,0,/Tmp/ortizgas/data/ImageNet2012_h264/
data_loader,workers,seed,epoch,batch_size,batches_cnt,batch_time,waiting_for_data_time,train_time,data_path
Benzina,1,1234,0,128,100,1.4567484855651855,0,0,/Tmp/ortizgas/data/ImageNet2012_h264/
data_loader,workers,seed,epoch,batch_size,batches_cnt,batch_time,waiting_for_data_time,train_time,data_path
Benzina,1,1234,0,128,100,0.04848344087600708,0,0,/Tmp/ortizgas/data/ImageNet2012_h264/
data_loader,workers,seed,epoch,batch_size,batches_cnt,batch_time,waiting_for_data_time,train_time,data_path
Benzina,1,0,0,128,100,0.36661025524139407,0.034899783134460446,0.3317104721069336,/Tmp/ortizgas/data/ImageNet2012_h264/
